title,pubDate,guid,link,description
Rod Stewart: Videos prompts pothole DIY repair warning,"Sun, 13 Mar 2022 13:16:18 GMT",https://www.bbc.co.uk/news/uk-england-essex-60727187,https://www.bbc.co.uk/news/uk-england-essex-60727187?at_medium=RSS&at_campaign=KARANGA,A council urges people not to attempt road repairs themselves after the singer was filmed doing it.
Zhytomyr: Aerial attacks hit city that is corridor to Kyiv,"Mon, 14 Mar 2022 00:39:01 GMT",https://www.bbc.co.uk/news/world-europe-60729216,https://www.bbc.co.uk/news/world-europe-60729216?at_medium=RSS&at_campaign=KARANGA,"Zhytomyr, in north-west Ukraine, is facing intense daily attacks. Why is it being bombed so heavily?"
Ukraine war: Zelensky visits wounded Ukrainian soldiers,"Sun, 13 Mar 2022 22:47:01 GMT",https://www.bbc.co.uk/news/world-60731908,https://www.bbc.co.uk/news/world-60731908?at_medium=RSS&at_campaign=KARANGA,Ukraine's president gives medals to injured troops and the hospital workers caring for them.
How to spot false posts from Ukraine,"Mon, 14 Mar 2022 00:48:17 GMT",https://www.bbc.co.uk/news/blogs-trending-60654288,https://www.bbc.co.uk/news/blogs-trending-60654288?at_medium=RSS&at_campaign=KARANGA,Ways to slow the spread of bad information and false posts from the war.
Ukraine war: Five times refugees were met with kindness,"Mon, 14 Mar 2022 00:01:03 GMT",https://www.bbc.co.uk/news/world-60730945,https://www.bbc.co.uk/news/world-60730945?at_medium=RSS&at_campaign=KARANGA,"From toys to flowers, refugees fleeing the war in Ukraine are warmly greeted by strangers in Europe."
Poland feels the strain of Ukraine's refugees,"Sun, 13 Mar 2022 20:16:17 GMT",https://www.bbc.co.uk/news/world-europe-60731369,https://www.bbc.co.uk/news/world-europe-60731369?at_medium=RSS&at_campaign=KARANGA,The eastern town of Zamosc has welcomed thousands of refugees but locals wonder how long they can cope.
War in Ukraine: What happened on day 18 of Russia's invasion,"Sun, 13 Mar 2022 20:26:55 GMT",https://www.bbc.co.uk/news/world-europe-60730367,https://www.bbc.co.uk/news/world-europe-60730367?at_medium=RSS&at_campaign=KARANGA,"A military base near the Polish border is attacked, and the UK announces a scheme to house refugees."
Why I want to share my home with a Ukrainian refugee,"Sun, 13 Mar 2022 13:41:18 GMT",https://www.bbc.co.uk/news/uk-60727293,https://www.bbc.co.uk/news/uk-60727293?at_medium=RSS&at_campaign=KARANGA,"John Rutherford has already hosted two refugees, and is open to offering a room to a Ukrainian."
War in Ukraine: Uni to uniform - Ukraine's new teenage army recruits,"Sat, 12 Mar 2022 23:57:22 GMT",https://www.bbc.co.uk/news/world-europe-60724560,https://www.bbc.co.uk/news/world-europe-60724560?at_medium=RSS&at_campaign=KARANGA,Young volunteers swap their studies for assault rifles as they prepare to defend Kyiv from Russian forces.
Newspaper headlines: 'War at Nato's door' as Putin has 'West in sights',"Mon, 14 Mar 2022 06:03:25 GMT",https://www.bbc.co.uk/news/blogs-the-papers-60731666,https://www.bbc.co.uk/news/blogs-the-papers-60731666?at_medium=RSS&at_campaign=KARANGA,"Russia's missile strike on a military base in the west of Ukraine carried a warning, Monday's papers suggest."
Baftas 2022: Seven highlights - from the jokes to the dresses,"Mon, 14 Mar 2022 01:50:38 GMT",https://www.bbc.co.uk/news/entertainment-arts-60730808,https://www.bbc.co.uk/news/entertainment-arts-60730808?at_medium=RSS&at_campaign=KARANGA,Rebel Wilson made an assured hosting debut while West Side Story stars showed solidarity with Ukraine.
The Syrian women replacing men as leaders,"Mon, 14 Mar 2022 00:07:00 GMT",https://www.bbc.co.uk/news/world-middle-east-60682214,https://www.bbc.co.uk/news/world-middle-east-60682214?at_medium=RSS&at_campaign=KARANGA,"Syrian refugees in Lebanon have elected women as leaders of some camps, breaking traditional social norms."
Brent Renaud: Friend of US journalist killed in Ukraine speaks to BBC,"Sun, 13 Mar 2022 19:58:08 GMT",https://www.bbc.co.uk/news/world-europe-60730773,https://www.bbc.co.uk/news/world-europe-60730773?at_medium=RSS&at_campaign=KARANGA,"Mea last spoke to Brent four days ago, and says he was excited to work on a documentary in Ukraine."
